route,date,daytype,rides,day,WD_WE_LW
4,04/06/2013,A,14333,Saturday,WE
3,04/07/2013,U,9292,Sunday,WE
4,04/07/2013,U,11208,Sunday,WE
3,04/08/2013,W,20566,Monday,WD
4,04/08/2013,W,23841,Monday,WD
3,04/09/2013,W,21956,Tuesday,WD
4,04/09/2013,W,24419,Tuesday,WD
3,04/10/2013,W,21145,Wednesday,WD
4,04/10/2013,W,22637,Wednesday,WD
3,04/11/2013,W,21981,Thursday,WD
4,04/11/2013,W,23915,Thursday,WD
3,04/12/2013,W,21661,Friday,WD
4,04/12/2013,W,24520,Friday,WD
3,04/13/2013,A,15036,Saturday,WE
4,04/13/2013,A,14668,Saturday,WE
3,04/14/2013,U,9809,Sunday,WE
4,04/14/2013,U,11663,Sunday,WE
3,04/15/2013,W,21121,Monday,WD
4,04/15/2013,W,24658,Monday,WD
3,04/16/2013,W,22825,Tuesday,WD
4,04/16/2013,W,23936,Tuesday,WD
3,04/17/2013,W,20258,Wednesday,WD
4,04/17/2013,W,22367,Wednesday,WD
3,04/18/2013,W,18711,Thursday,WD
4,04/18/2013,W,20388,Thursday,WD
3,04/19/2013,W,21895,Friday,WD
4,04/19/2013,W,22703,Friday,WD
3,04/20/2013,A,14572,Saturday,WE
4,04/20/2013,A,14906,Saturday,WE
3,04/21/2013,U,9537,Sunday,WE
4,04/21/2013,U,11230,Sunday,WE
3,04/22/2013,W,23200,Monday,WD
4,04/22/2013,W,24001,Monday,WD
3,04/23/2013,W,20687,Tuesday,WD
4,04/23/2013,W,22155,Tuesday,WD
3,04/24/2013,W,20733,Wednesday,WD
4,04/24/2013,W,22762,Wednesday,WD
3,04/25/2013,W,22528,Thursday,WD
4,04/25/2013,W,24344,Thursday,WD
3,04/26/2013,W,23884,Friday,WD
4,04/26/2013,W,23755,Friday,WD
3,04/27/2013,A,17472,Saturday,WE
4,04/27/2013,A,15740,Saturday,WE
3,04/28/2013,U,10403,Sunday,WE
4,04/28/2013,U,11406,Sunday,WE
3,04/29/2013,W,22734,Monday,WD
4,04/29/2013,W,23367,Monday,WD
3,04/30/2013,W,21926,Tuesday,WD
4,04/30/2013,W,24396,Tuesday,WD
3,05/01/2013,W,23735,Wednesday,WD
4,05/01/2013,W,26654,Wednesday,WD
3,05/02/2013,W,23165,Thursday,WD
4,05/02/2013,W,25179,Thursday,WD
3,05/03/2013,W,22159,Friday,WD
4,05/03/2013,W,24761,Friday,WD
3,05/04/2013,A,15074,Saturday,WE
4,05/04/2013,A,14651,Saturday,WE
3,05/05/2013,U,9681,Sunday,WE
4,05/05/2013,U,12284,Sunday,WE
3,05/06/2013,W,22217,Monday,WD
4,05/06/2013,W,25314,Monday,WD
3,05/07/2013,W,22795,Tuesday,WD
4,05/07/2013,W,24446,Tuesday,WD
3,05/08/2013,W,23592,Wednesday,WD
4,05/08/2013,W,25669,Wednesday,WD
3,05/09/2013,W,23240,Thursday,WD
4,05/09/2013,W,24084,Thursday,WD
3,05/10/2013,W,22232,Friday,WD
4,05/10/2013,W,23693,Friday,WD
3,05/11/2013,A,13932,Saturday,WE
4,05/11/2013,A,15608,Saturday,WE
3,05/12/2013,U,9076,Sunday,WE
4,05/12/2013,U,10848,Sunday,WE
3,05/13/2013,W,22224,Monday,WD
4,05/13/2013,W,24185,Monday,WD
3,05/14/2013,W,23178,Tuesday,WD
4,05/14/2013,W,25201,Tuesday,WD
3,05/15/2013,W,23226,Wednesday,WD
4,05/15/2013,W,24537,Wednesday,WD
3,05/16/2013,W,21889,Thursday,WD
4,05/16/2013,W,24484,Thursday,WD
3,05/17/2013,W,22605,Friday,WD
4,05/17/2013,W,23113,Friday,WD
3,05/18/2013,A,15073,Saturday,WE
4,05/18/2013,A,14685,Saturday,WE
3,05/19/2013,U,11679,Sunday,WE
4,05/19/2013,U,13934,Sunday,WE
3,05/20/2013,W,23599,Monday,WD
4,05/20/2013,W,24208,Monday,WD
3,05/21/2013,W,25092,Tuesday,WD
4,05/21/2013,W,25071,Tuesday,WD
3,05/22/2013,W,23201,Wednesday,WD
4,05/22/2013,W,25318,Wednesday,WD
3,05/23/2013,W,22351,Thursday,WD
4,05/23/2013,W,25516,Thursday,WD
3,05/24/2013,W,22973,Friday,WD
4,05/24/2013,W,26447,Friday,WD
3,05/25/2013,A,15343,Saturday,LW
4,05/25/2013,A,15676,Saturday,LW
3,05/26/2013,U,10320,Sunday,LW
4,05/26/2013,U,11840,Sunday,LW
3,05/27/2013,U,9084,Monday,LW
4,05/27/2013,U,10793,Monday,LW
3,05/28/2013,W,21589,Tuesday,WD
4,05/28/2013,W,24817,Tuesday,WD
3,05/29/2013,W,22896,Wednesday,WD
4,05/29/2013,W,25765,Wednesday,WD
3,05/30/2013,W,23257,Thursday,WD
4,05/30/2013,W,24757,Thursday,WD
3,05/31/2013,W,25761,Friday,WD
4,05/31/2013,W,27151,Friday,WD
3,06/01/2013,A,16154,Saturday,WE
4,06/01/2013,A,16680,Saturday,WE
3,06/02/2013,U,9797,Sunday,WE
4,06/02/2013,U,11746,Sunday,WE
3,06/03/2013,W,25979,Monday,WD
4,06/03/2013,W,26580,Monday,WD
3,06/04/2013,W,24470,Tuesday,WD
4,06/04/2013,W,26630,Tuesday,WD
3,06/05/2013,W,24095,Wednesday,WD
4,06/05/2013,W,25635,Wednesday,WD
3,06/06/2013,W,23762,Thursday,WD
4,06/06/2013,W,23940,Thursday,WD
3,06/07/2013,W,24138,Friday,WD
4,06/07/2013,W,25712,Friday,WD
3,06/08/2013,A,16654,Saturday,WE
4,06/08/2013,A,16717,Saturday,WE
3,06/09/2013,U,10092,Sunday,WE
4,06/09/2013,U,12416,Sunday,WE
3,06/10/2013,W,22829,Monday,WD
4,06/10/2013,W,24769,Monday,WD
3,06/11/2013,W,24164,Tuesday,WD
4,06/11/2013,W,24869,Tuesday,WD
3,06/12/2013,W,22527,Wednesday,WD
4,06/12/2013,W,23429,Wednesday,WD
3,06/13/2013,W,23886,Thursday,WD
4,06/13/2013,W,24466,Thursday,WD
3,06/14/2013,W,23445,Friday,WD
4,06/14/2013,W,26045,Friday,WD
3,06/15/2013,A,15137,Saturday,WE
4,06/15/2013,A,15734,Saturday,WE
3,06/16/2013,U,11110,Sunday,WE
4,06/16/2013,U,12870,Sunday,WE
3,06/17/2013,W,21368,Monday,WD
4,06/17/2013,W,25028,Monday,WD
3,06/18/2013,W,21540,Tuesday,WD
